expert_id,name,twitter,institution,type,title,href
stephanie-riegg-cellini,Stephanie Riegg Cellini,srcellini,brookings,,"Nonresident Senior Fellow - Governance Studies, Brown Center on Education Policy",https://www.brookings.edu/experts/stephanie-riegg-cellini/
anqi-chen,Anqi Chen,-1,brookings,,Center for Retirement Research at Boston College,https://www.brookings.edu/experts/anqi-chen/
judy-chevalier,Judy Chevalier,judy_chevalier,brookings,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/judy-chevalier/
tarun-chhabra-2,Tarun Chhabra,ChhabraT,brookings,,"Nonresident Fellow - Foreign Policy, Center for 21st Century Security and Intelligence, Project on International Order and Strategy",https://www.brookings.edu/experts/tarun-chhabra-2/
thomas-j-christensen,Thomas J. Christensen,-1,brookings,,"Nonresident Senior Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/thomas-j-christensen/
greg-clark,Greg Clark,GregClarkCities,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/greg-clark/
eyal-tsir-cohen,Eyal Tsir Cohen,-1,brookings,,"Visiting Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/eyal-tsir-cohen/
matthew-collin,Matthew Collin,aidthoughts,brookings,,David M. Rubenstein Fellow - Global Economy and Development,https://www.brookings.edu/experts/matthew-collin/
susan-m-collins,Susan M. Collins,-1,brookings,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/susan-m-collins/
peter-conti-brown,Peter Conti-Brown,PeterContiBrown,brookings,,Nonresident Fellow - Economic Studies,https://www.brookings.edu/experts/peter-conti-brown/
larry-cooley,Larry Cooley,LarryCooleyUS,brookings,,"Nonresident Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/larry-cooley/
brahima-coulibaly,Brahima Sangafowa Coulibaly,BSangafowaCoul,brookings,,Vice President and Director - Global Economy and Development;Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/brahima-coulibaly/
kimberle-w-crenshaw,Kimberlé W. Crenshaw,sandylocks,brookings,,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/kimberle-w-crenshaw/
derek-cummings,Derek Cummings,-1,brookings,,"Nonresident Fellow - Economic Studies, Center on Social Dynamics and Policy",https://www.brookings.edu/experts/derek-cummings/
galip-dalay,Galip Dalay,GalipDalay,brookings,,"Nonresident Fellow - Brookings Doha Center;Richard von Weizsäcker Fellow, Robert Bosch Academy",https://www.brookings.edu/experts/galip-dalay/
kemal-dervis,Kemal Derviş,Kemal_Dervis,brookings,,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/kemal-dervis/
raj-m-desai,Raj M. Desai,-1,brookings,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/raj-m-desai/
kevin-c-desouza,Kevin C. Desouza,KevDesouza,brookings,,"Nonresident Senior Fellow - Governance Studies, Center for Technology Innovation",https://www.brookings.edu/experts/kevin-c-desouza/
john-j-diiulio,John J. DiIulio,-1,brookings,,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/john-j-diiulio/
david-dollar,David Dollar,davidrdollar,brookings,,"Senior Fellow - Foreign Policy, Global Economy and Development, John L. Thornton China Center",https://www.brookings.edu/experts/david-dollar/
ryan-donahue,Ryan Donahue,rmdonahue,brookings,,Nonresident Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/ryan-donahue/
