name,twitter,title,href
Adam Elshaug,Twitter,"Visiting Fellow - Economic Studies, Center for Health Policy, USC-Brookings Schaeffer Initiative for Health Policy",https://www.brookings.edu/experts/adam-elshaug/
Alex Engler,AlexCEngler,Rubenstein Fellow - Governance Studies,https://www.brookings.edu/experts/alex-engler/
Marcela Escobari,MarcelaEscobari,Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/marcela-escobari/
Antoni Estevadeordal,,"Nonresident Senior Fellow - Global Economy and Development, Brookings Economic and Social Policy in Latin America Initiative",https://www.brookings.edu/experts/antoni-estevadeordal/
Stephen Eubank,,Nonresident Senior Fellow - Center on Social Dynamics and Policy,https://www.brookings.edu/experts/stephen-eubank/
Steven A. Farmer,,Visiting Scholar - Economic Studies,https://www.brookings.edu/experts/steven-a-farmer/
Federica Saini Fasanotti,,"Nonresident Senior Fellow - Foreign Policy, Center for 21st Century Security and Intelligence",https://www.brookings.edu/experts/federica-saini-fasanotti/
Salam Fayyad,,Distinguished Fellow - Foreign Policy,https://www.brookings.edu/experts/salam-fayyad/
Richard E. Feinberg,rfeinberg2012,"Nonresident Senior Fellow - Foreign Policy, Latin America Initiative",https://www.brookings.edu/experts/richard-feinberg/
Vanda Felbab-Brown,VFelbabBrown,"Senior Fellow - Foreign Policy, Center for 21st Century Security and Intelligence",https://www.brookings.edu/experts/vanda-felbab-brown/
Jeffrey Feltman,,John C. Whitehead Visiting Fellow in International Diplomacy - Foreign Policy,https://www.brookings.edu/experts/jeffrey-feltman/
Matthew Fiedler,mattafiedler,"Fellow - Economic Studies, USC-Brookings Schaeffer Initiative for Health Policy",https://www.brookings.edu/experts/matthew-fiedler/
Lindsey W. Ford,lindseywford,"David M. Rubenstein Fellow - Foreign Policy, Center for East Asia Policy Studies",https://www.brookings.edu/experts/lindsey-ford/
Louise Fox,LouiseFox_econ,"Nonresident Senior Fellow - Global Economy and Development, Africa Growth Initiative",https://www.brookings.edu/experts/louise-fox/
William H. Frey,,Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/william-h-frey/
Michael Fullilove,mfullilove,"Nonresident Senior Fellow - Foreign Policy, Project on International Order and Strategy",https://www.brookings.edu/experts/michael-fullilove/
William G. Gale,WilliamGale2,The Arjay and Frances Fearing Miller Chair in Federal Economic Policy;Senior Fellow - Economic Studies;Director - Retirement Security Project;Co-Director - Urban-Brookings Tax Policy Center,https://www.brookings.edu/experts/william-g-gale/
William A. Galston,BillGalston,Ezra K. Zilkha Chair and Senior Fellow - Governance Studies,https://www.brookings.edu/experts/william-a-galston/
Alejandro J. Ganimian,aganimian,"Nonresident Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/alejandro-j-ganimian/
Ted Gayer,,"Executive Vice President, The Brookings Institution;Senior Fellow - Economic Studies",https://www.brookings.edu/experts/ted-gayer/
Paolo Gentiloni,PaoloGentiloni,Leave of Absence,https://www.brookings.edu/experts/paolo-gentiloni/
Geoffrey Gertz,geoffreygertz,Fellow - Global Economy and Development,https://www.brookings.edu/experts/geoffrey-gertz/
Paul Gewirtz,,"Nonresident Senior Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/paul-gewirtz/
Adel Abdel Ghafar,AdelAGhafar,"Fellow - Foreign Policy, Brookings Doha Center",https://www.brookings.edu/experts/adel-abdel-ghafar/
Hafez Ghanem,HafezGhanem_WB,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/hafez-ghanem/
Tarek Ghani,,Nonresident Fellow - Global Economy and Development,https://www.brookings.edu/experts/tarek-ghani/
Indermit Gill,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/indermit-gill/
Julia  Gillard,JuliaGillard,"Distinguished Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/julia-gillard/
Paul B. Ginsburg,,Director - USC-Brookings Schaeffer Initiative for Health Policy;Leonard D. Schaeffer Chair in Health Policy Studies;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/paul-ginsburg/
D. Michael Goedecke,,"Nonresident Fellow - Economic Studies, Center on Social Dynamics and Policy",https://www.brookings.edu/experts/d-michael-goedecke/
Annelies Goger,Twitter,David M. Rubenstein Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/annelies-goger/
James Goldgeier,JimGoldgeier,"Robert Bosch Senior Visiting Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/james-goldgeier/
Dana Goldman,,"Nonresident Senior Fellow - Economic Studies, USC-Brookings Schaeffer Initiative for Health Policy",https://www.brookings.edu/experts/dana-goldman/
Marek Gootman,MarekGootman,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/marek-gootman/
Joshua Gotbaum,JoshGotbaum,Guest Scholar - Economic Studies,https://www.brookings.edu/experts/joshua-gotbaum/
Carol Graham,cgbrookings,Leo Pasvolsky Senior Fellow and Research Director - Global Economy and Development,https://www.brookings.edu/experts/carol-graham/
Michael Greenstone,,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/michael-greenstone/
Sheena Chestnut Greitens,sheenagreitens,"Nonresident Senior Fellow - Foreign Policy, Center for East Asia Policy Studies",https://www.brookings.edu/experts/sheena-chestnut-greitens/
Sharan Grewal,sh_grewal,"Nonresident Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/sharan-grewal/
DJ Gribbin,DJ_gribbin,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/dj-gribbin/
Michal Grinstein-Weiss,MichalGW,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/michal-grinstein-weiss/
Samantha Gross,samanthaenergy,"Director - Energy Security and Climate Initiative;Fellow - Foreign Policy, Energy Security and Climate Initiative",https://www.brookings.edu/experts/samantha-gross/
Emily Gustafsson-Wright,EGWBrookings,"Senior Fellow - Global Economy and Development, Center for Universal Education",https://www.brookings.edu/experts/emily-gustafsson-wright/
Jeffrey Gutman,,Nonresident Senior Fellow - Global Economy and Development,https://www.brookings.edu/experts/jeffrey-gutman/
Jean-Marie Guéhenno,JGuehenno,Distinguished Fellow - Foreign Policy,https://www.brookings.edu/experts/jean-marie-guehenno/
Helen Shwe Hadani,HelenSHadani,"Fellow - Global Economy and Development, Center for Universal Education;Fellow - Metropolitan Policy Program, Anne T. and Robert M. Bass Center for Transformative Placemaking",https://www.brookings.edu/experts/helen-shwe-hadani/
David P. Hajjar,,Former Brookings Expert,https://www.brookings.edu/experts/david-p-hajjar/
Mark Hall,,"Nonresident Senior Fellow - Economic Studies, USC-Brookings Schaeffer Initiative for Health Policy",https://www.brookings.edu/experts/mark-hall/
Shadi Hamid,shadihamid,"Senior Fellow - Foreign Policy, Center for Middle East Policy, U.S. Relations with the Islamic World",https://www.brookings.edu/experts/shadi-hamid/
Ross A. Hammond,,Director - Center on Social Dynamics and Policy;Senior Fellow - Economic Studies,https://www.brookings.edu/experts/ross-a-hammond/
Michael Hansen,DrMikeHansen,The Herman and George R. Brown Chair and Director - Brown Center on Education Policy;Senior Fellow - Governance Studies,https://www.brookings.edu/experts/michael-hansen/
Bradley Hardy,bl_hardy,Nonresident Senior Fellow - Economic Studies,https://www.brookings.edu/experts/bradley-hardy/
Jennifer M. Harris,jennifermharris,Nonresident Senior Fellow - Foreign Policy,https://www.brookings.edu/experts/jennifer-m-harris/
Douglas N. Harris,douglasharris99,"Nonresident Senior Fellow - Governance Studies, Brown Center on Education Policy",https://www.brookings.edu/experts/douglas-harris/
Fredrick C. Harris,,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/fredrick-c-harris/
Ron Haskins,,Senior Fellow Emeritus - Economic Studies,https://www.brookings.edu/experts/ron-haskins/
Ryan Hass,ryanl_hass,"The Michael H. Armacost Chair;Fellow - Foreign Policy, Center for East Asia Policy Studies, John L. Thornton China Center;Interim Chen-Fu and Cecilia Yen Koo Chair in Taiwan Studies",https://www.brookings.edu/experts/ryan-hass/
Ian Hathaway,IanHathaway,Nonresident Senior Fellow - Metropolitan Policy Program,https://www.brookings.edu/experts/ian-hathaway/
Howard Henderson,hhendersonphd,Nonresident Senior Fellow - Governance Studies,https://www.brookings.edu/experts/howard-henderson/
Susan Hennessey,Susan_Hennessey,Senior Fellow - Governance Studies;Executive Editor - Lawfare,https://www.brookings.edu/experts/susan-hennessey/
Makada Henry-Nickie,Twitter,Fellow - Governance Studies,https://www.brookings.edu/experts/makada-henry-nickie/
Brad Hershbein,,Nonresident Fellow - Economic Studies,https://www.brookings.edu/experts/brad-hershbein/
Stephen Hess,,Senior Fellow Emeritus - Governance Studies,https://www.brookings.edu/experts/stephen-hess/
Steven Heydemann,SHeydemann,"Nonresident Senior Fellow - Foreign Policy, Center for Middle East Policy",https://www.brookings.edu/experts/steven-heydemann/
Fiona Hill,,"Senior Fellow - Foreign Policy, Center on the United States and Europe",https://www.brookings.edu/experts/fiona-hill/
Kathy Hirsh-Pasek,KathyandRo1,"Senior Fellow - Global Economy and Development, Center for Universal Education;Stanley and Debra Lefkowitz Faculty Fellow, Department of Psychology, Temple University",https://www.brookings.edu/experts/kathy-hirsh-pasek/
Harry J. Holzer,,"Nonresident Senior Fellow - Economic Studies;John LaFarge Professor of Public Policy, Georgetown University;Former Chief Economist, Department of Labor",https://www.brookings.edu/experts/harry-j-holzer/
Colette D. Honorable,CHonorableEsq,"Nonresident Senior Fellow - Foreign Policy, Energy Security and Climate Initiative",https://www.brookings.edu/experts/colette-d-honorable/
Jamie P. Horsley,,"Visiting Fellow - Foreign Policy, John L. Thornton China Center",https://www.brookings.edu/experts/jamie-horsley/
Wenliang Hou,,Center for Retirement Research at Boston College,https://www.brookings.edu/experts/wenliang-hou/
John Hudak,JohnJHudak,Deputy Director - Center for Effective Public Management;Senior Fellow - Governance Studies,https://www.brookings.edu/experts/john-hudak/
