name,title,type,href
Valerie Novack,Fellow,"Art, Editorial, and Video",https://www.americanprogress.org/person/novack-valerie/
Keenan Alexander,Graphic Designer,Communications,https://www.americanprogress.org/person/alexander-keenan/
Will Beaudouin,Managing Editor,Communications,https://www.americanprogress.org/person/beaudouin-will/
Steve Bonitatibus,Editor,Communications,https://www.americanprogress.org/person/bonitatibus-steve/
Mathew Brady,Data Visualization Developer,Communications,https://www.americanprogress.org/person/brady-mat/
Carl Chancellor,"Managing Director, Editorial",Communications,https://www.americanprogress.org/person/chancellor-carl/
Rosemary Cornelius,Digital Designer,Communications,https://www.americanprogress.org/person/cornelius-rosemary/
Jasmine Hardy,Video Producer,Communications,https://www.americanprogress.org/person/hardy-jasmine/
Chester Hawkins,Senior Graphic Designer,Communications,https://www.americanprogress.org/person/hawkins-chester/
Jarvis Holliday,"Director, Editorial",Communications,https://www.americanprogress.org/person/holliday-jarvis/
Irene Koo,Associate Editor,Communications,https://www.americanprogress.org/person/koo-irene/
Meghan Miller,Editor,Communications,https://www.americanprogress.org/person/miller-meghan/
Bill Rapp,Art Director,Communications,https://www.americanprogress.org/person/rapp-bill/
Christian Rodriguez,Associate Editor,Communications,https://www.americanprogress.org/person/rodriguez-christian/
Shanée Simhoni,Assistant Managing Editor,Communications,https://www.americanprogress.org/person/simhoni-shanee/
Tricia Woodcome,Editor,Communications,https://www.americanprogress.org/person/woodcome-tricia/
Paige Armstrong,Campaign Associate,Criminal Justice,https://www.americanprogress.org/person/armstrong-paige/
Aloha Backenstose,Digital Media Associate,Criminal Justice,https://www.americanprogress.org/person/backenstose-aloha/
Julia Cusick,"Director, Media Relations",Criminal Justice,https://www.americanprogress.org/person/cusick-julia/
Morgan Finkelstein,"Associate Director, Media Relations",Criminal Justice,https://www.americanprogress.org/person/finkelstein-morgan/
Claudia Flores,Immigration Campaign Manager,Criminal Justice,https://www.americanprogress.org/person/flores-claudia/
Chris Ford,Senior Broadcast Coordinator,Criminal Justice,https://www.americanprogress.org/person/ford-chris/
Dwayne Greene,"Director, Broadcast Communications",Criminal Justice,https://www.americanprogress.org/person/greene-dwayne/
Sam Hananel,"Associate Director, Media Relations",Criminal Justice,https://www.americanprogress.org/person/hananel-sam/
Ryan Koronowski,"Director, Special Research Projects",Criminal Justice,https://www.americanprogress.org/person/koronowski-ryan/
Jesse Lee,Senior Adviser,Criminal Justice,https://www.americanprogress.org/person/lee-jesse/
Claudia Montecinos,"Associate Director, Media Relations",Criminal Justice,https://www.americanprogress.org/person/montecinos-claudia/
Shana Oshinskie,Design Associate,Criminal Justice,https://www.americanprogress.org/person/oshinskie-shana/
Adam Peck,Senior Media Coordinator,Criminal Justice,https://www.americanprogress.org/person/peck-adam/
Hai-Lam Phan,Senior Video Producer,Criminal Justice,https://www.americanprogress.org/person/phan-hai/
Will Ragland,Research Director,Criminal Justice,https://www.americanprogress.org/person/ragland-will/
Zahir Rasheed,Research Assistant,Criminal Justice,https://www.americanprogress.org/person/rasheed-zahir/
Ricardo Rauseo,Constituency Media Associate,Criminal Justice,https://www.americanprogress.org/person/rauseo-ricardo/
Lauren Santa Cruz,"Director, Digital Creative",Criminal Justice,https://www.americanprogress.org/person/santa-cruz-lauren/
Colin Seeberger,"Director, Media Relations",Criminal Justice,https://www.americanprogress.org/person/seeberger-colin/
Vernessa Shih,Story Bank Director,Criminal Justice,https://www.americanprogress.org/person/shih-vernessa/
Marina Sullivan,Email Manager,Criminal Justice,https://www.americanprogress.org/person/sullivan-marina/
Giselle Tervalon,Story Bank Manager,Criminal Justice,https://www.americanprogress.org/person/tervalon-giselle/
Alejandro Verdin,Campaign Manager,Criminal Justice,https://www.americanprogress.org/person/verdin-alejandro/
Sage Warner,Story Bank Campaign Associate,Criminal Justice,https://www.americanprogress.org/person/warner-sage/
Alex Witt,Audience Development Director,Criminal Justice,https://www.americanprogress.org/person/witt-alex/
Akua Amaning,Associate Director,Democracy and Government,https://www.americanprogress.org/person/amaning-akua/
Sarah Figgatt,Research Assistant,Democracy and Government,https://www.americanprogress.org/person/figgatt-sarah/
Kenny Lo,Research Associate,Democracy and Government,https://www.americanprogress.org/person/lo-kenny/
Betsy Pearl,Associate Director,Democracy and Government,https://www.americanprogress.org/person/pearl-betsy/
Hauwa Ahmed,Research Associate,Development,https://www.americanprogress.org/person/ahmed-huawa/
Maggie Jo Buchanan,"Director, Legal Progress",Development,https://www.americanprogress.org/person/buchanan-maggie-jo/
William Roberts,Managing Director,Development,https://www.americanprogress.org/person/roberts-william/
Danielle Root,"Associate Director, Voting Rights and Access to Justice",Development,https://www.americanprogress.org/person/root-danielle/
Alex Tausanovitch,"Director, Campaign Finance and Electoral Reform",Development,https://www.americanprogress.org/person/tausanovitch-alex/
Stephanie Wylie,Senior Policy Analyst,Development,https://www.americanprogress.org/person/wylie-stephanie/
Stephanie Bailey,"Associate Director, Foundation Relations",Digital Strategy,https://www.americanprogress.org/person/bailey-stephanie/
David Bing,"Director, Development Operations",Digital Strategy,https://www.americanprogress.org/person/bing-david/
Edward Connors,Direct Appeal Manager,Digital Strategy,https://www.americanprogress.org/person/connors-edward/
Ryan Fleury,Director,Digital Strategy,https://www.americanprogress.org/person/fleury-ryan/
Zack Knowles,"Associate Director, Foundation Relations",Digital Strategy,https://www.americanprogress.org/person/knowles-zack/
Stefan Romberg,"Managing Director, Foundation Relations",Digital Strategy,https://www.americanprogress.org/person/romberg-stefan/
Jon Roux,Corporate and Major Gifts Officer,Digital Strategy,https://www.americanprogress.org/person/roux-jon/
Amy Serafino,"Senior Director, Development",Digital Strategy,https://www.americanprogress.org/person/serafino-amy/
Tiffany Tesmer,Development Operations Coordinator,Digital Strategy,https://www.americanprogress.org/person/tesmer-tiffany/
Jaime Vázquez,Foundations Relations Coordinator,Digital Strategy,https://www.americanprogress.org/person/vazquez-jaime/
Carson Bear,Email Marketing Associate,Early Childhood,https://www.americanprogress.org/person/bear-carson/
Elena Berger,"Director, Email Marketing and Audience Relations",Early Childhood,https://www.americanprogress.org/person/berger-elena/
J.R. Boynton,Outreach Systems and Analytics Manager,Early Childhood,https://www.americanprogress.org/person/boynton-jr/
Taku Burutsa,Salesforce Administrator,Early Childhood,https://www.americanprogress.org/person/burutsa-taku/
Genna Cifelli,Social Media Associate,Early Childhood,https://www.americanprogress.org/person/cifelli-genna/
Lisa DeCow,"Associate Director, Email Marketing",Early Childhood,https://www.americanprogress.org/person/decow-lisa/
Shar Ghavami,"Senior Director, Technology Development",Early Childhood,https://www.americanprogress.org/person/ghavami-shar/
Matt Grant,Lead Application Developer,Early Childhood,https://www.americanprogress.org/person/grant-matt/
Darian Madere,Applications Developer,Early Childhood,https://www.americanprogress.org/person/madere-darian/
Kiera Manser,Digital Fundraising Associate,Early Childhood,https://www.americanprogress.org/person/manser-kiera/
Rafiatou Ouro-Aguy,Digital Analytics Specialist,Early Childhood,https://www.americanprogress.org/person/ouro-aguy-rafiatou/
Ben Podnar,Senior Email Marketing Manager,Early Childhood,https://www.americanprogress.org/person/podnar-ben/
Rebecca Rosenberg,Social Media Director,Early Childhood,https://www.americanprogress.org/person/rosenberg-rebecca/
Elyse Wallnutt,"Director, Digital Strategy",Early Childhood,https://www.americanprogress.org/person/wallnutt-elyse/
MK Falgout,Research Assistant,Economy,https://www.americanprogress.org/person/falgout-mk/
Rasheed Malik,Senior Policy Analyst,Economy,https://www.americanprogress.org/person/malik-rasheed/
Darya Nicol,Advocacy Associate,Economy,https://www.americanprogress.org/person/nicol-darya/
Simon Workman,Director,Economy,https://www.americanprogress.org/person/workman-simon/
Olugbenga Ajilore,Senior Economist,"Education, K-12",https://www.americanprogress.org/person/ajilore-olugbenga/
Kevin DeGood,"Director, Infrastructure Policy","Education, K-12",https://www.americanprogress.org/person/degood-kevin/
Gregg Gelzinis,Senior Policy Analyst,"Education, K-12",https://www.americanprogress.org/person/gelzinis-gregg/
Andy Green,Managing Director,"Education, K-12",https://www.americanprogress.org/person/green-andy/
Galen Hendricks,Research Assistant,"Education, K-12",https://www.americanprogress.org/person/hendricks-galen/
Marc Jarsulic,Chief Economist,"Education, K-12",https://www.americanprogress.org/person/jarsulic-marc/
Michael Madowitz,Economist,"Education, K-12",https://www.americanprogress.org/person/madowitz-michael/
Lily Roberts,"Director, Economic Mobility","Education, K-12",https://www.americanprogress.org/person/roberts-lily/
Alexandra Thornton,"Senior Director, Tax Policy","Education, K-12",https://www.americanprogress.org/person/thornton-alexandra/
Divya Vijay,Special Assistant,"Education, K-12",https://www.americanprogress.org/person/vijay-divya/
Malkie Wall,Research Associate,"Education, K-12",https://www.americanprogress.org/person/wall-malkie/
Karla Walter,"Senior Director, Employment Policy","Education, K-12",https://www.americanprogress.org/person/walter-karla/
Zoe Willingham,Research Associate,"Education, K-12",https://www.americanprogress.org/person/willingham-zoe/
Ryan Zamarripa,Associate Director,"Education, K-12",https://www.americanprogress.org/person/zamarripa-ryan/
Michela Zonta,"Senior Policy Analyst, Housing Policy","Education, K-12",https://www.americanprogress.org/person/zonta-michela/
Meg Benner,Senior Consultant,"Education, Postsecondary",https://www.americanprogress.org/person/benner-meg/
Neil Campbell,"Director, Innovation","Education, Postsecondary",https://www.americanprogress.org/person/campbell-neil/
Roby Chatterji,Senior Policy Analyst,"Education, Postsecondary",https://www.americanprogress.org/person/chatterji-roby/
Megan Ferren,Special Assistant,"Education, Postsecondary",https://www.americanprogress.org/person/ferren-megan/
Bayliss Fiddiman,Senior Policy Analyst,"Education, Postsecondary",https://www.americanprogress.org/person/fiddiman-bayliss/
Khalilah M. Harris,Managing Director,"Education, Postsecondary",https://www.americanprogress.org/person/harris-khalilah/
Ashley Jeffrey,Policy Analyst,"Education, Postsecondary",https://www.americanprogress.org/person/jeffrey-ashley/
Laura Jimenez,"Director, Standards and Accountability","Education, Postsecondary",https://www.americanprogress.org/person/jimenez-laura/
Jamil Modaffari,Research Assistant,"Education, Postsecondary",https://www.americanprogress.org/person/modaffari-jamil/
Lisette Partelow,"Senior Director, K-12 Strategic Initiatives","Education, Postsecondary",https://www.americanprogress.org/person/partelow-lisette/
Abby Quirk,Research Associate,"Education, Postsecondary",https://www.americanprogress.org/person/quirk-abby/
Jessica Yin,Research Assistant,"Education, Postsecondary",https://www.americanprogress.org/person/yin-jessica/
Viviann Anguiano,"Associate Director, Postsecondary Education",Energy and Environment,https://www.americanprogress.org/person/anguiano-viviann/
Marshall Anthony Jr.,Senior Policy Analyst,Energy and Environment,https://www.americanprogress.org/person/anthony-marshall/
Marcella Bombardieri,Associate Director,Energy and Environment,https://www.americanprogress.org/person/bombardieri-marcella/
Bradley D. Custer,Senior Policy Analyst,Energy and Environment,https://www.americanprogress.org/person/custer-bradley/
Antoinette Flores,"Director, Postsecondary Education",Energy and Environment,https://www.americanprogress.org/person/flores-antoinette/
Marissa Navarro,Special Assistant,Energy and Environment,https://www.americanprogress.org/person/navarro-marissa/
Victoria Yuen,Policy Analyst,Energy and Environment,https://www.americanprogress.org/person/yuen-victoria/
Bidisha Bhattacharyya,"Deputy Director, Climate and Energy Policy",Events,https://www.americanprogress.org/person/bhattacharyya-bidisha/
Alexandra Carter,"Policy Analyst, Ocean Policy",Events,https://www.americanprogress.org/person/carter-alexandra/
Rita Cliffton,Research Associate,Events,https://www.americanprogress.org/person/cliffton-rita/
Margaret Cooney,"Campaign Manager, Ocean Policy",Events,https://www.americanprogress.org/person/cooney-margaret/
Sahir Doshi,Research Assistant,Events,https://www.americanprogress.org/person/doshi-sahir/
Ari Drennen,Press Secretary,Events,https://www.americanprogress.org/person/drennen-ari/
Nicole Gentile,"Deputy Director, Public Lands",Events,https://www.americanprogress.org/person/gentile-nicole/
Miriam Goldstein,"Managing Director; Director, Ocean Policy",Events,https://www.americanprogress.org/person/goldstein-miriam/
Elise Gout,Research Associate,Events,https://www.americanprogress.org/person/gout-elise/
Sally Hardin,Interim Director,Events,https://www.americanprogress.org/person/hardin-sally/
Trevor Higgins,"Director, Domestic Climate and Energy",Events,https://www.americanprogress.org/person/higgins-trevor/
Kate Kelly,"Director, Public Lands",Events,https://www.americanprogress.org/person/kelly-kate/
Bianca Majumder,Research Associate,Events,https://www.americanprogress.org/person/majumder-bianca/
Hannah Malus,Campaign Manager,Events,https://www.americanprogress.org/person/malus-hannah/
Mikyla Reta,Research Associate,Events,https://www.americanprogress.org/person/reta-mikyla/
Ryan Richards,"Senior Policy Analyst, Public Lands",Events,https://www.americanprogress.org/person/richards-ryan/
Jenny Rowland-Shea,"Senior Policy Analyst, Public Lands",Events,https://www.americanprogress.org/person/rowland-shea-jenny/
Katherine So,Special Assistant,Events,https://www.americanprogress.org/person/so-katherine/
Diane Bui,Special Events Coordinator,Executive Office,https://www.americanprogress.org/person/bui-diane/
William Flanagan,"Director, Special Events",Executive Office,https://www.americanprogress.org/person/flanagan-william/
Adam Parker,Special Events Manager,Executive Office,https://www.americanprogress.org/person/parker-adam/
